X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
8081.87,1348.8,1333.22
8095.17,1343.17,1327.61
8108.47,1337.55,1321.99
8121.78,1331.93,1316.38
8135.08,1326.3,1310.76
8148.38,1320.68,1305.14
8161.69,1315.05,1299.53
8174.99,1309.43,1293.91
8188.29,1303.8,1288.3
8201.59,1298.18,1282.68
8214.9,1292.56,1277.07
8228.2,1286.93,1271.45
8241.5,1281.35,1265.88
8254.81,1276.11,1260.66
8268.11,1270.86,1255.45
8281.41,1265.62,1250.23
8294.71,1260.38,1245.01
8308.02,1255.13,1239.8
8321.32,1249.89,1234.58
8334.62,1244.65,1229.36
8347.93,1239.41,1224.14
8361.23,1234.16,1218.93
8374.53,1228.92,1213.71
8387.84,1223.68,1208.49
8401.14,1218.44,1203.28
8414.44,1213.54,1198.41
8427.74,1208.63,1193.55
8441.05,1203.73,1188.68
8454.35,1198.83,1183.81
8467.65,1193.93,1178.94
8480.96,1189.03,1174.08
8494.26,1184.13,1169.21
8507.56,1179.23,1164.34
8520.86,1174.33,1159.47
8534.17,1169.43,1154.61
8547.47,1164.52,1149.74
8560.77,1159.62,1144.87
8574.08,1154.95,1140.22
8587.38,1150.39,1135.68
8600.68,1145.83,1131.13
8613.99,1141.26,1126.58
8627.29,1136.7,1122.04
8640.59,1132.14,1117.49
8653.89,1127.57,1112.94
8667.2,1123.01,1108.4
8680.5,1118.45,1103.85
8693.8,1113.88,1099.3
8707.11,1109.32,1094.76
8720.41,1104.76,1090.21
8733.71,1100.23,1085.7
8747.01,1096,1081.48
8760.32,1091.76,1077.25
8773.62,1087.52,1073.02
8786.92,1083.29,1068.79
8800.23,1079.05,1064.56
8813.53,1074.81,1060.33
8826.83,1070.58,1056.1
8840.13,1066.34,1051.87
8853.44,1062.1,1047.64
8866.74,1057.86,1043.42
8880.04,1053.63,1039.19
8893.35,1049.39,1034.96
8906.65,1045.23,1030.81
8919.95,1041.27,1026.88
8933.25,1037.32,1022.95
8946.56,1033.36,1019.01
8959.86,1029.41,1015.08
8973.16,1025.45,1011.15
8986.47,1021.49,1007.22
8999.77,1017.54,1003.29
9013.07,1013.58,999.353
9026.38,1009.62,995.42
9039.68,1005.67,991.488
9052.98,1001.71,987.556
9066.28,997.756,983.624
9079.59,993.854,979.746
9092.89,990.174,976.089
9106.19,986.494,972.433
9119.5,982.814,968.777
9132.8,979.134,965.12
9146.1,975.455,961.464
9159.4,971.775,957.808
9172.71,968.095,954.151
9186.01,964.416,950.495
9199.31,960.736,946.839
9212.62,957.056,943.182
9225.92,953.376,939.526
9239.22,949.696,935.87
9252.53,946.016,932.213
9265.83,942.536,928.75
9279.13,939.102,925.331
9292.43,935.668,921.912
9305.74,932.234,918.493
9319.04,928.799,915.074
9332.34,925.365,911.655
9345.65,921.93,908.236
9358.95,918.496,904.817
9372.25,915.062,901.398
9385.55,911.627,897.979
9398.86,908.193,894.56
9412.16,904.759,891.141
9425.46,901.324,887.722
9438.77,897.934,884.349
9452.07,894.715,881.152
9465.37,891.495,877.955
9478.67,888.276,874.758
9491.98,885.056,871.561
9505.28,881.836,868.364
9518.58,878.616,865.167
9531.89,875.397,861.97
9545.19,872.177,858.773
9558.49,868.957,855.576
9571.79,865.738,852.379
9585.1,862.518,849.182
9598.4,859.298,845.985
9611.7,856.079,842.788
9625.01,852.949,839.678
9638.31,849.968,836.712
9651.61,846.987,833.746
9664.92,844.006,830.78
9678.22,841.025,827.813
9691.52,838.044,824.847
9704.82,835.063,821.881
9718.13,832.082,818.915
9731.43,829.101,815.948
9744.73,826.12,812.982
9758.04,823.139,810.016
9771.34,820.158,807.05
9784.64,817.177,804.083
9797.94,814.196,801.117
9811.25,811.263,798.2
9824.55,808.482,795.433
9837.85,805.701,792.666
9851.16,802.919,789.899
9864.46,800.138,787.132
9877.76,797.357,784.366
9891.06,794.576,781.599
9904.37,791.794,778.832
9917.67,789.013,776.065
9930.97,786.232,773.298
9944.28,783.45,770.531
9957.58,780.669,767.765
9970.88,777.888,764.998
9984.19,775.106,762.231
9997.49,772.325,759.464
10010.8,769.702,756.855
10024.1,767.115,754.282
10037.4,764.529,751.709
10050.7,761.942,749.137
10064,759.355,746.564
10077.3,756.769,743.991
10090.6,754.182,741.419
10103.9,751.595,738.846
10117.2,749.009,736.273
10130.5,746.422,733.701
10143.8,743.835,731.128
10157.1,741.249,728.555
10170.4,738.662,725.982
10183.7,736.076,723.41
10197,733.489,720.837
10210.3,730.905,718.267
10223.6,728.321,715.698
10236.9,725.737,713.129
10250.2,723.154,710.56
10263.5,720.57,707.991
10276.8,717.986,705.422
10290.2,715.403,702.853
10303.5,712.819,700.284
10316.8,710.235,697.715
10330.1,707.652,695.146
10343.4,705.068,692.577
10356.7,702.484,690.008
10370,699.901,687.439
10383.3,697.317,684.869
10396.6,694.907,682.48
10409.9,692.676,680.275
10423.2,690.444,678.07
10436.5,688.212,675.865
10449.8,685.98,673.66
10463.1,683.749,671.454
10476.4,681.517,669.249
10489.7,679.286,667.044
10503,677.054,664.839
10516.3,674.822,662.634
10529.6,672.591,660.429
10542.9,670.359,658.223
10556.2,668.127,656.018
10569.5,665.895,653.813
10582.8,663.664,651.608
10596.1,661.432,649.403
10609.4,659.29,647.277
10622.7,657.184,645.185
10636,655.078,643.092
10649.3,652.972,640.999
10662.6,650.866,638.907
10675.9,648.76,636.814
10689.2,646.655,634.722
10702.5,644.549,632.629
10715.8,642.443,630.536
10729.1,640.337,628.444
10742.5,638.231,626.351
10755.8,636.125,624.259
10769.1,634.019,622.166
10782.4,631.914,620.073
10795.7,629.808,617.981
10809,627.702,615.888
10822.3,625.694,613.887
10835.6,623.694,611.894
10848.9,621.694,609.901
10862.2,619.694,607.907
10875.5,617.694,605.914
10888.8,615.694,603.921
10902.1,613.694,601.928
10915.4,611.694,599.934
10928.7,609.695,597.941
