X: PhotonEnergy [eV],Y: XCOM:Rayle...nt)[cm^-1],Y: XCOM:Compt...nt)[cm^-1],Y: XCOM:Photo...ric[cm^-1],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
4068.15,31.0643,0.170612,4485.09,4515.87,4485.15
4080.71,31.01,0.171099,4450.06,4481.04,4450.11
4093.27,30.9558,0.171585,4415.04,4446.2,4415.06
4105.83,30.9016,0.172071,4380.34,4411.66,4380.38
4118.4,30.8481,0.172558,4347.49,4378.78,4347.75
4130.96,30.7945,0.173046,4314.64,4345.91,4315.13
4143.52,30.741,0.173533,4281.79,4313.03,4282.51
4156.08,30.6874,0.17402,4248.94,4280.16,4249.89
4168.64,30.6338,0.174507,4216.08,4247.28,4217.27
4181.2,30.5803,0.174994,4183.23,4214.41,4184.65
4193.76,30.5276,0.175475,4152.32,4183.47,4153.63
4206.32,30.4751,0.175955,4121.96,4153.09,4123.07
4218.88,30.4226,0.176435,4091.6,4122.71,4092.5
4231.44,30.3701,0.176915,4061.24,4092.32,4061.94
4244,30.3177,0.177394,4030.88,4061.94,4031.38
4256.56,30.2652,0.177874,4000.51,4031.56,4000.81
4269.13,30.2128,0.178354,3970.53,4001.55,3970.74
4281.69,30.1608,0.178837,3941.71,3972.7,3942.13
4294.25,30.1088,0.179319,3912.88,3943.85,3913.53
4306.81,30.0568,0.179802,3884.05,3915,3884.92
4319.37,30.0048,0.180284,3855.23,3886.15,3856.32
4331.93,29.9528,0.180766,3826.4,3857.29,3827.71
4344.49,29.9031,0.181232,5417.25,5448.12,5418.64
4357.05,29.8522,0.181714,5381.63,5412.37,5382.96
4369.61,29.8016,0.182188,5347.52,5378.04,5348.63
4382.17,29.7509,0.182661,5313.4,5343.71,5314.3
4394.73,29.7003,0.183135,5279.29,5309.38,5279.97
4407.29,29.6497,0.183609,5245.18,5275.05,5245.64
4419.86,29.5991,0.184082,5211.07,5240.72,5211.31
4432.42,29.5484,0.184556,5176.95,5206.39,5176.98
4444.98,29.4988,0.185028,5144.45,5174.05,5144.64
4457.54,29.4494,0.185499,5112.19,5141.99,5112.58
4470.1,29.3999,0.18597,5079.92,5109.94,5080.53
4482.66,29.3504,0.186441,5047.65,5077.88,5048.47
4495.22,29.301,0.186913,5015.39,5045.83,5016.42
4507.78,29.2515,0.187384,4983.12,5013.77,4984.36
4520.34,29.2021,0.187855,4950.85,4981.72,4952.31
4532.9,29.1511,0.188323,4920.72,4951.2,4921.99
4545.46,29.1001,0.188791,4890.71,4920.77,4891.77
4558.02,29.0491,0.189259,4860.7,4890.34,4861.55
4570.59,28.9981,0.189727,4830.69,4859.91,4831.33
4583.15,28.9471,0.190195,4800.68,4829.48,4801.11
4595.71,28.8961,0.190663,4770.66,4799.04,4770.88
4608.27,28.8451,0.191131,4740.65,4768.61,4740.66
4620.83,28.8043,0.191582,5471.65,5501.06,5471.65
4633.39,28.7553,0.19205,5436.36,5465.77,5436.36
4645.95,28.7063,0.192519,5401.08,5430.48,5401.08
4658.51,28.6574,0.192987,5365.79,5395.2,5365.79
4671.07,28.6084,0.193455,5330.51,5359.91,5330.51
4683.63,28.5595,0.193924,5295.22,5324.63,5295.22
4696.19,28.5105,0.194392,5259.93,5289.34,5259.93
4708.75,28.4615,0.194852,5226.64,5256.05,5226.64
4721.32,28.4126,0.19531,5193.92,5223.32,5193.92
4733.88,28.3636,0.195767,5161.2,5190.6,5161.2
4746.44,28.3146,0.196225,5128.47,5157.88,5128.47
4759,28.2656,0.196683,5095.75,5125.16,5095.75
4771.56,28.2166,0.19714,5063.03,5092.44,5063.03
4784.12,28.1676,0.197598,5030.31,5059.72,5030.31
4796.68,28.1191,0.198054,4998.61,5027.93,4998.61
4809.24,28.0712,0.198508,4968.16,4997.28,4968.16
4821.8,28.0233,0.198962,4937.71,4966.63,4937.71
4834.36,27.9753,0.199416,4907.25,4935.98,4907.25
4846.92,27.9274,0.199869,4876.8,4905.33,4876.8
4859.48,27.8794,0.200323,4846.34,4874.68,4846.34
4872.05,27.8315,0.200777,4815.89,4844.03,4815.89
4884.61,27.7836,0.201231,4785.44,4813.38,4785.44
4897.17,27.7372,0.201685,4756.35,4784.28,4756.35
